gamma=0.1	gamma=0.3	gamma=0.7	gamma=0.9	
0.905454545454546	0.913095238095238	0.894444444444444	0.891111111111111	
0.971428571428572	0.931730769230769	0.846866096866097	0.966433566433566	
0.931428571428571	0.931818181818182	0.966666666666667	0.939615384615385	
0.897142857142857	0.917777777777778	0.948333333333333	0.981818181818182	
0.931428571428571	0.957777777777778	0.895151515151515	0.937037037037037	
0.969230769230769	0.913333333333333	0.928826728826729	0.904444444444444	
0.966666666666667	0.855128205128205	0.82991341991342	0.948484848484848	
0.956818181818182	0.89	0.983333333333333	0.926666666666667	
0.96	0.889241622574956	0.951428571428572	0.965811965811966	
0.935	0.966666666666667	0.895555555555555	0.888271604938272	
0.914983164983165	0.971428571428572	0.946031746031746	0.912087912087912	
0.951048951048951	0.93030303030303	0.883405483405483	0.82991341991342	
1	0.983333333333333	0.889523809523809	0.92	
0.981818181818182	0.923484848484848	0.886024531024531	0.977777777777778	
0.789285714285714	1	1	0.867948717948718	
0.915	1	0.96	0.884206349206349	
0.874444444444444	0.906666666666667	0.975	0.946666666666667	
0.936818181818182	0.951428571428571	0.936507936507937	1	
0.884206349206349	0.966433566433566	0.951428571428571	0.885317460317461	
0.882457049123716	0.904444444444444	0.951428571428571	0.936818181818182	
0.922222222222222	0.891818181818182	0.981818181818182	0.95	
0.96	0.911111111111111	0.928826728826729	0.926111111111111	
0.955	1	0.943636363636364	0.971428571428572	
0.963636363636364	0.95	0.962393162393163	0.895064935064935	
0.91959595959596	0.952777777777778	0.961111111111111	0.926428571428572	
0.917777777777778	0.888461538461539	0.971428571428572	0.907142857142857	
1	0.959259259259259	0.908333333333333	0.971428571428572	
0.971428571428572	0.796731601731602	0.888095238095238	0.893333333333333	
0.921428571428571	0.87959595959596	0.861111111111111	0.906024531024531	
0.933846153846154	1	0.881428571428571	0.929206349206349	
0.984615384615385	0.888888888888889	0.972222222222222	0.878787878787879	
0.96	0.946428571428572	0.921428571428571	0.945151515151515	
1	0.882477522477523	0.963636363636364	0.975	
0.981818181818182	0.977777777777778	0.941077441077441	0.866666666666667	
